title,authors,abstract,bib_handle,bib_note,url,jel,year,journal
State and Local Tax Policy in a Time of Telework,David R. Agrawal & Xinyu Chen,"The taxing authority of subnational governments is limited by the geographic location of individuals and economic activity. The rise of telework decouples a worker’s residence from the employer’s location, creating challenges for personal income taxes, corporate income taxes, and unemployment insurance. Using US Census data, we show that teleworkers are more likely than nonteleworkers to move interstate and realize larger reductions in their state tax burdens from a move. Motivated by this evidence, we evaluate alternative principles for sourcing labor income to the state of residence, the employer, or work and discuss how remote work reshapes subnational tax bases.",ucp:nattax:doi:10.1086/740842,10.1086/740842,http://dx.doi.org/10.1086/740842,,2026,ntj
Not Just for Kids: Child and Dependent Care Credit Benefits for Adult Care,Gabrielle Pepin & Yulya Truskinovsky,"As the US population ages, family caregivers face substantial out-of-pocket costs and financial risks while providing the majority of long-term care. The Child and Dependent Care Credit (CDCC), a tax credit based on income and care spending, subsidizes caregiving expenses but has low participation among adult caregivers. This paper evaluates the CDCC’s current structure, documenting its limited impact on reducing caregiving costs and examining reforms to increase its utility for adult caregivers. Simulations of proposed changes — higher benefits, refundability, and relaxed eligibility requirements — demonstrate potential to expand access and enhance support for family caregivers within the existing policy framework.",ucp:nattax:doi:10.1086/737073,10.1086/737073,http://dx.doi.org/10.1086/737073,,2026,ntj
The Paycheck Protection Program: Progressivity and Tax Effects,David Splinter & Michael Love & Eric Heiser & Jacob Mortenson,"The $800 billion Paycheck Protection Program (PPP) provided COVID-19 pandemic relief to businesses retaining employees. Prior research has not directly estimated the PPP’s distributional or tax effects. Linking PPP loans to tax records, we estimate progressive effects with respect to income for both workers and business owners. Bottom-quintile incomes increased 18 percent and top-quintile incomes increased 2 percent. About half of PPP relief benefited workers. The PPP also increased taxes and decreased unemployment compensation, reducing net program costs by one-quarter. Net costs could have been even lower (and progressivity higher) without the tax exclusion of PPP forgiveness.",ucp:nattax:doi:10.1086/738582,10.1086/738582,http://dx.doi.org/10.1086/738582,,2026,ntj
The Foreign Market Effect and Estimating Tax-Motivated Income Shifting,Zero Deng & Scott G. Rane,"We present evidence that the negative association between foreign profitability and tax rates — conventionally interpreted as income shifting — is appreciably driven by the economics of foreign markets unrelated to international tax planning. To improve income shifting estimates, we propose incorporating country fixed effects in foreign profitability-based tests or using domestic profitability-based tests to validate results. We demonstrate that including country fixed effects lowers estimated outbound income shifting from $44.0 million to $29.3 million per US multinational firm annually, representing a 33.4 percent reduction. These recommendations benefit future income shifting research employing profitability-based models.",ucp:nattax:doi:10.1086/737267,10.1086/737267,http://dx.doi.org/10.1086/737267,,2026,ntj
Evolving Discontinuities in The State Taxation of Income from Remote Work,Kirk J. Stark,"An important legal question for state income taxes concerns the sourcing of income from the cross-border provision of services. Are taxing rights assigned to the state where services are performed or the market state where those services are received? Focusing on four simple, illustrative cases involving the application of state income taxes to remote workers, this article presents a rough schema for understanding alternative sourcing rules and how those rules have changed over time. While place of performance sourcing has long been the dominant approach, many states now tax certain nonresident service providers based on the location of their employer or other purchaser of their services. As a result of these changes, sourcing rules today vary not only from state to state but also by the type of taxpayer, with market sourcing becoming the norm for sourcing service income of corporations, pass-through entities, and sole proprietors. The durability of this shift is clouded by pending litigation in New York (by remote employees) and California (by remote independent contractors) challenging the constitutionality of state departures from place of performance sourcing. The article considers how the resolution of these legal controversies could influence the future of state taxation of income from remote work.",ucp:nattax:doi:10.1086/740886,10.1086/740886,http://dx.doi.org/10.1086/740886,,2026,ntj
Has the Rise of Work from Home Reduced the Motherhood Penalty in the Labor Market?,Emma Harrington & Matthew E. Kahn,"When women become mothers, many step back from the workforce. Could work from home (WFH) mitigate this motherhood penalty, particularly in traditionally family-unfriendly careers? We leverage prepandemic technological changes that increased the feasibility of WFH in some college degrees but not others. In degrees where WFH increased, motherhood gaps in employment narrowed: for every 10 percent increase in WFH, mothers’ employment rates increased by 0.78 percentage points (or 0.94 percent) relative to other women’s. These changes are driven by occupations with inflexible time demands. Panel data show that women who could WFH before childbirth are less likely to exit the workforce.",ucp:nattax:doi:10.1086/740865,10.1086/740865,http://dx.doi.org/10.1086/740865,,2026,ntj
Which Medicaid Recipients Might Be Eligible for SSI?,Michael Levere & David Wittenburg,"Though safety net programs offer important benefits, take-up is often incomplete. Using machine learning models on Medicaid data, we estimate the take-up rate for children’s Supplemental Security Income (SSI) and the characteristics of potentially eligible children with disabilities who do not receive benefits. Using more than 1,000 measures of health-care utilization, we estimate state-specific models that generate the probability that each child not receiving SSI is eligible. Using the expected number of potentially eligible children, the implied take-up of SSI is approximately 70 percent. Potentially eligible children have intensive health-care usage, often more intensive than current child SSI recipients.",ucp:nattax:doi:10.1086/739783,10.1086/739783,http://dx.doi.org/10.1086/739783,,2026,ntj
The evolution of patriotism,Jiabin Wu,"This paper presents an evolutionary model of patriotism. The state interacts with a population of citizens who may differ in their levels of patriotism, reflecting how much they care about the state. Citizens’ patriotism is subject to evolutionary pressure in the long run. Under complete information, if the state’s payoff function exhibits strategic complementarity, patriotism can emerge through evolution. In the presence of incomplete information, however, patriotism fails to thrive. Despite this, if citizens can costlessly disclose their levels of patriotism to the state in a truthful but potentially imprecise manner, full information revelation can be achieved under certain monotonicity conditions—one of which can be derived from the supermodularity of the interaction between the state and citizens—thus allowing patriotism to evolve in a manner similar to the complete information case.",spr:jogath:v:55:y:2026:i:2:d:10.1007_s00182-026-01002-3,10.1007/s00182-026-01002-3,http://link.springer.com/10.1007/s00182-026-01002-3,,2026,ijgt
Deadline credibility and trade efficiency,Masahiro Yoshida,"Many real-world negotiations are persistently delayed, yet imposing deadlines is costly because it induces inefficient separations. Do all deadlines in one-on-one market transactions need to be perfectly credible? To improve trade efficiency, I propose a mechanism that introduces an intermediate, imperfectly credible deadline to facilitate agreement. Using a canonical seller–buyer dynamic bargaining model with a credible deadline, I analytically characterize the optimal degree of credibility of such a deadline that maximizes trade efficiency, leading to early agreements without triggering separations. Under a non-zero risk of separation, the seller is tempted to discount the price to secure a payoff, while the buyer is more likely to accept at the intermediate deadline because pricing resembles ultimatum offers. A laboratory experiment provides direct evidence of the mechanism’s effects that extend beyond the theoretical benchmark.",spr:jogath:v:55:y:2026:i:2:d:10.1007_s00182-026-00992-4,10.1007/s00182-026-00992-4,http://link.springer.com/10.1007/s00182-026-00992-4,,2026,ijgt
Inference on nonparametric panel data models with fixed effects and censored dependent variables,Jangsu Yoon,"This article develops estimation and inference methods for a nonparametric generalization of a censored panel regression model with fixed effects. I demonstrate that the conventional trimmed LAD identification strategy continues to hold for identifying the nonparametric component of the generalized model. Building on the conditional moment condition implied by this strategy, I propose a plug-in Sieve Minimum Distance estimator for the model’s structural function. The proposed approach yields consistent and asymptotically normal estimators of the functionals of interest. Monte Carlo simulations assess the finite-sample performance of the estimation and inference procedures for the Average Partial Effect. The simulation results highlight the advantages of the proposed estimator and test statistics, particularly when the structural function is nonlinear and the proportion of censored observations is moderate. The empirical application revisits the top-coded wage equation used to study the evolution of the Black-White wage gap following Title VII of the Civil Rights Act of 1964 and Executive Order 11246. The new estimates suggest that changes in the wage gap were more modest than those implied by parametric model estimates.",taf:emetrv:v:45:y:2026:i:6:p:856-875,10.1080/07474938.2026.2637030,http://hdl.handle.net/10.1080/07474938.2026.2637030,,2026,er
A practitioner’s guide to panel data quantile regression,Antonio F. Galvao & Carlos Lamarche,"Quantile regression for panel data has become a common model of interest for econometricians and statisticians. The theoretical literature has addressed important questions, including identification, estimation, and statistical inference. Although recent advances have enabled practitioners to estimate flexible models under a wide range of assumptions, practical issues have not been fully addressed. In this paper, we offer a guide to empirical practice intended to help applied researchers navigate the challenges of estimation and inference for panel quantile models. We also present a series of practical recommendations and illustrations, emphasizing both “why” and the “how” to help researchers with the implementation of existing approaches.",taf:emetrv:v:45:y:2026:i:6:p:774-799,10.1080/07474938.2026.2642065,http://hdl.handle.net/10.1080/07474938.2026.2642065,,2026,er
A regularization approach to optimizing large portfolios under asymmetries in returns and risk attitudes,Mohamed Doukali & N’Golo Kone & Abderrahim Taamouti,"This article introduces a methodology for selecting large portfolios in the presence of asymmetries in asset returns and risk attitudes. Within this framework, the optimal portfolio depends on inverting the covariance matrix of returns. However, traditional estimators of this matrix become nearly singular when the number of assets is significantly larger than the sample size. This results in a selected portfolio that deviates substantially from the optimal one. To address this challenge, we propose four regularization techniques aimed at stabilizing the inverse of the covariance matrix: Ridge, Spectral Cut-Off, Landweber-Fridman, and Lasso for Nodewise Regression. These regularization techniques involve a tuning parameter that requires careful selection. To tackle this, we introduce a data-driven approach for choosing the optimal tuning parameter. Through extensive simulation exercise, we demonstrate the superior performance of the regularized optimal portfolio over several benchmark portfolios. Finally, we provide two empirical applications to illustrate the practical relevance of the proposed methods. In these applications, the results consistently show that incorporating asymmetries in returns and regularizing the inverse of the covariance matrix significantly improves the performance of the optimal portfolio. Specifically, our approach achieves higher Sharpe and Generalized Sharpe ratios, lower turnover, and greater stability compared to benchmark strategies.",taf:emetrv:v:45:y:2026:i:6:p:826-855,10.1080/07474938.2026.2621658,http://hdl.handle.net/10.1080/07474938.2026.2621658,,2026,er
Preface to the Practitioner’s Guide Series,Yuya Sasaki,,taf:emetrv:v:45:y:2026:i:6:p:773-773,10.1080/07474938.2026.2641954,http://hdl.handle.net/10.1080/07474938.2026.2641954,,2026,er
Testing collusion and cooperation in binary choice games,Erhao Xie,"This article studies binary choice games with complete information and proposes a test for the null hypothesis of collusion / cooperation, where players coordinate their actions to maximize the weighted sum of all players’ payoffs. Consider an arbitrary game, referred to as the original game. With data on players’ actual choices and under weak regularity conditions, I show that the collusive model of the original game is observationally equivalent to an equilibrium model of a transformed game with an alternative payoff structure. Notably, this equivalent equilibrium model must satisfy two key restrictions: one on each player’s strategic effect and the other on the equilibrium selection mechanism. This observational equivalence transforms the test for collusion / cooperation into a test on structural functions estimated under an equilibrium framework—one that need not be the true model but nonetheless yields informative implications for testing collusive behaviors. In particular, it amounts to a joint test of the strategic effects and the equilibrium selection mechanism. I illustrate the implementation of this test by revisiting the entry game between Wal-Mart and Kmart, as studied by Jia (2008). The estimation results strongly reject the hypothesis that these two chains coordinate their entry decisions to maximize the weighted sum of their profits.",taf:emetrv:v:45:y:2026:i:6:p:800-825,10.1080/07474938.2026.2616611,http://hdl.handle.net/10.1080/07474938.2026.2616611,,2026,er
Who Bears the Burden of Climate Inaction?,Kimberly A. Clausing & Christopher R. Knittel & Catherine Wolfram,"Climate change is already increasing temperatures and raising the frequency of natural disasters in the United States. In this paper, we examine several major vectors through which climate change affects US households, including cost increases associated with home insurance claims and increased cooling, as well as sources of increased mortality. Although we consider only a subset of climate costs over recent decades, we find an aggregate annual cost averaging between $400 and $900 per household; in 10 percent of counties, costs exceed $1,300 per household. Costs vary significantly by geography, with the largest costs occurring in some western regions of the United States, the Gulf Coast, and Florida. Climate costs also typically disproportionately burden lower-income households. Our work suggests the importance of research that looks beyond rising temperatures to extreme weather events; so far, natural disasters account for the bulk of the burden of climate change in the United States.",bin:bpeajo:v:56:y:2025:i:2025-02:p:371-461,,https://www.brookings.edu/articles/who-bears-the-burden-of-climate-inaction/,,2025,bpea
"Technology and Labor Markets: Past, Present, and Future; Evidence from Two Centuries of Innovation",Huben Liu & Dimitris Papanikolaou & Lawrence D. W. Schmidt & Bryan Seegmiller,"We use recent advances in natural language processing and large language models to construct novel measures of technology exposure for workers that span almost two centuries. Combining our measures with census data on occupation employment, we show that technological progress over the twentieth century has led to economically meaningful shifts in labor demand across occupations: It has consistently increased demand for occupations with higher education requirements, occupations that pay higher wages, and occupations with a greater fraction of female workers. Using these insights and a calibrated model, we then explore different scenarios for how advances in artificial intelligence (AI) are likely to affect employment trends in the medium run. The model predicts a reversal of past trends, with AI favoring occupations that are lower-educated, lower-paid, and more male-dominated.",bin:bpeajo:v:56:y:2025:i:2025-02:p:215-292,,https://www.brookings.edu/articles/technology-and-labor-markets-past-present-and-future/,,2025,bpea
What Next for r*? A Capital Market Equilibrium Perspective on the Natural Rate of Interest,Lukasz Rachel,"The natural rate of interest (r*) is a central benchmark for monetary and fiscal policy, shaping decisions by firms and households across the economy. In advanced economies, r* declined steadily for half a century, but the recent sharp increases in market-based real rates have raised the prospect of a turnaround. This paper revisits the long-run decline in real rates through a structural model in which r* equilibrates the supply and demand in the capital market. I show that advanced economies have undergone profound shifts in both capital demand and - especially - capital supply, driving a fall in r* of about 5 percentage points and nearly doubling the wealth-to-GDP ratio since 1970, despite weak investment and low saving. To trace the dynamics, I construct a limited foresight transition in which agents notice and understand the shocks hitting the economy only as they arrive. I argue this is a more plausible alternative to the usual perfect foresight assumption. The model's business-as-usual scenario computed this way implies r* of around 0-1.2 percent today and points to a small gentle decline over the years to come. But r* could instead rise, due to new forces such as artificial intelligence, deglobalization, or a persistent fall in the safety premium following the recent inflation episode. The model is capable of generating a sharp turnaround in the path for the natural rate, but for r* to return to pre-2008 levels, several upside risks to r* likely need to crystallize all at once.",bin:bpeajo:v:56:y:2025:i:2025-02:p:131-188,,https://www.brookings.edu/articles/what-next-for-r/,,2025,bpea
Employment Impacts of the CHIPS Act,Bilge Erten & Joseph E. Stiglitz & Eric Verhoogen,"The CHIPS and Science Act, enacted in August 2022, is a key element of the revival of US industrial policy. We examine the short-term employment effects of the act. Drawing on quarterly industry-by-county data from the Quarterly Census of Employment and Wages (QCEW), we implement two county-level difference-in-differences designs, the first comparing counties with preexisting semiconductor facilities to other counties with high-tech industries and the second comparing counties with semiconductor fabrication facilities (which were targeted for the bulk of the CHIPS funding) to counties with non-fabrication semiconductor facilities. Using both approaches, we find robust, positive employment impacts in affected counties. The effects began at the time of the passage in the Senate of a precursor bill, in anticipation of the signing of the CHIPS Act. Our preferred estimates suggest an increase of 110 jobs per affected county in the first design and 180 jobs per affected county in the second design. We also find robust positive impacts on local construction employment. Evidence on total employment and GDP at the county level, as well as on employment in upstream input sectors, is mixed. Simple back-of-the-envelope calculations (which come with caveats) suggest national direct employment effects of approximately 15,000-16,000 jobs in the core semiconductor sector and indirect effects of 15,000-30,000 jobs in related sectors.",bin:bpeajo:v:56:y:2025:i:2025-02:p:1-63,,https://www.brookings.edu/articles/employment-impacts-of-the-chips-act/,,2025,bpea
Trade War and the Dollar Anchor,Tarek A. Hassan & Thomas M. Mertens & Jingye Wang & Tony Zhang,"We develop a general equilibrium model in which the safety of a country's currency and the choice of its exchange rate regime arise endogenously. Calibrated to pre-2025 data, the model replicates the US dollar's safety premium, low Treasury yields, and its status as the world's anchor currency. Introducing a trade war that isolates US goods markets from the world erodes the US dollar's safety premium, raises US interest rates, and lowers the world market value of US firms. For sufficiently high tariffs, small economies optimally repeg to the euro, precipitating a phase shift to a euro-centric international monetary system and a global welfare loss. The analysis implies that persistent trade wars may threaten the financial privileges that the United States derives from the dollar's international role.",bin:bpeajo:v:56:y:2025:i:2025-02:p:65-130,,https://www.brookings.edu/articles/trade-war-and-the-dollar-anchor/,,2025,bpea
Policy Concerns in an Era of Low Fertility: The Role of Social Comparisons and Intensive Parenting,Lukas Mahler & Michele Tertilt & Minchul Yum,"The global fertility rate has reached a record low, with nearly half of all countries now below replacement level. This has sparked renewed interest among policymakers and researchers alike. In this paper, we explore a novel explanation for low birth rates based on comparison motives. We show theoretically that strong comparison motives lead to high parental investments - both in time and money - and low fertility. We further show that comparison motives can amplify fertility declines driven by other forces. We provide suggestive empirical support for the role of comparison motives in explaining cross-country and within-US regional variation in fertility. The resulting policy implications are different from those usually considered. Specifically, reliance on high-stakes testing and precise rankings in the education system may heighten comparison motives and thereby contribute to fertility decline. Taxing or regulating certain types of private education institutions or reforming college admission could reduce excessive parental investments and thereby stimulate fertility.",bin:bpeajo:v:56:y:2025:i:2025-02:p:293-369,,https://www.brookings.edu/articles/policy-concerns-in-an-era-of-low-fertility/,,2025,bpea
Tokenized stocks for trading and capital raising,"Malinova, Katya & Park, Andreas","This paper explores the tokenization of traditional financial assets, particularly equities, on public blockchains like Ethereum. We examine how tokenization can streamline complex financial market infrastructure, replacing fragmented intermediary networks and cumbersome reconciliation processes. Despite significant potential for operational efficiency and broader market accessibility, tokenizing complex securities poses distinct technological, economic, and regulatory challenges. A core issue is attributing beneficial ownership and associated investor rights on pseudonymous blockchain networks without compromising user privacy or usage of decentralized applications. We analyze current token standards, practical implementation pathways, and regulatory compliance mechanisms, highlighting unresolved issues such as managing ownership in a smart contract environment. Emphasizing permissionless blockchain features like self-custody, interoperability, and decentralized financial services, we discuss implications for financial market structures and regulatory frameworks. The paper identifies key considerations, proposes potential solutions such as opt-in ownership registries, and provides guidance for future regulatory and engineering research on effectively integrating tokenization into traditional financial markets.",eee:respol:v:55:y:2026:i:7:s0048733326000880,10.1016/j.respol.2026.105497,http://www.sciencedirect.com/science/article/pii/S0048733326000880,,2026,rp
Collusion-proof decentralized autonomous organizations,"Braun, Alexander & Haeusle, Niklas","A first-order design task in blockchain-based decentralized autonomous organizations is to ensure that malicious actors are sanctioned. We show that, when voters act strategically and the system is insufficiently decentralized, payoff-matching bribes undermine the sanctioning of malicious actors under conventional governance. Our framework formalizes DAO voting mechanisms and lets us identify those that mitigate the problem. Stochastic voting decouples a tokenholder’s influence from the voting behavior of others. Thus, bribery-proofness can be restored in the presence of sufficiently centralized governance tokenholders. Alternatively, masked voting increases resilience against bribery. Our work contributes to the broader debate on the merits and pitfalls of decentralization and highlights the need to align governance mechanisms with the degree of decentralization in blockchain networks.",eee:respol:v:55:y:2026:i:7:s0048733326001009,10.1016/j.respol.2026.105509,http://www.sciencedirect.com/science/article/pii/S0048733326001009,,2026,rp
Gold or green finger? Government involvement in venture capital investments and target firms' green innovations,"Fan, Michelle Xiaomin & Huang, Kenneth G.","The potential problem of insufficient investments from private venture capital firms provides a strong rationale for government involvement. However, its role in driving green innovations—an important innovation that integrates environmental benefits to align with regulatory pressures—remains underexplored. Drawing upon Resource Dependency Theory and incorporating Bureaucrat Tournament Theory, our study examines how government involvement in venture capital investments affects target firms' production of green innovations. Using a plausibly exogenous, top-down policy on government guidance funds in China and employing a staggered difference-in-differences approach, we find that target firms funded exclusively by government-supported venture capital firms are associated with fewer green innovations than those supported exclusively by private venture capital firms. Furthermore, the effects are more pronounced when the target firms are funded by government-supported venture capital firms associated with higher-level government and located in regions with greater government intervention. This study sheds new light on the intricate interplay between financial and technological innovations, adding to the venture capital literature by examining the lens of government involvement and investments. It also yields important strategy and policy implications.",eee:respol:v:55:y:2026:i:7:s0048733326000971,10.1016/j.respol.2026.105506,http://www.sciencedirect.com/science/article/pii/S0048733326000971,,2026,rp
Asset pledgeability and firm innovation,"Chen, Huafeng  & Pan, Xiaofei & Qian, Meijun & Wu, Yiping & Xia, Qing","China is rapidly becoming a leading innovator, even as its financial system remains heavily debt based. We examine the effect of debt financing capacity on firm innovation by employing a shock in China that increases firms' asset pledgeability. We find that firms increase their innovation activities after the shock, and the increase is greater in regions with more effective enforcement and in firms with more tangible assets, even after using a matching firm analysis. After using three instrumental variables, we find that the increase in innovation is stronger in firms with higher market tangibility. We also find that firms with more tangible assets are associated with a higher level of bank loans after legal enactments, have higher R&D activities, engage in more mergers and acquisitions targeting high-tech firms, and hire more inventors.",eee:respol:v:55:y:2026:i:7:s0048733326000958,10.1016/j.respol.2026.105504,http://www.sciencedirect.com/science/article/pii/S0048733326000958,G31&G33,2026,rp
